,label
1043,fear
1803,fear
1682,fear
1711,fear
1447,fear
1507,fear
1079,fear
1512,fear
1450,fear
1736,fear
1189,fear
936,fear
1019,fear
1480,fear
1540,fear
1284,fear
1267,fear
1683,fear
1947,fear
1519,fear
1849,fear
1734,fear
1959,fear
1036,fear
1429,fear
1795,fear
1911,fear
1943,fear
1136,fear
1243,fear
1183,fear
1929,fear
913,fear
1290,fear
1651,fear
957,fear
1070,fear
824,fear
1318,fear
830,fear
1140,fear
1680,fear
992,fear
1483,fear
1017,fear
973,fear
1723,fear
1840,fear
862,fear
1273,fear
1555,fear
1574,fear
1133,fear
1014,fear
1541,fear
1836,fear
948,fear
1364,fear
1232,fear
898,fear
860,fear
823,fear
950,fear
1268,fear
1132,fear
1607,fear
986,fear
1097,fear
934,fear
1716,fear
1042,fear
1869,fear
1733,fear
1229,fear
1254,fear
1587,fear
1533,fear
1888,fear
1968,fear
901,fear
1585,fear
1175,fear
1394,fear
1032,fear
1278,fear
892,fear
1866,fear
1107,fear
1038,fear
1099,fear
1800,fear
1323,fear
1525,fear
947,fear
863,fear
1395,fear
1098,fear
921,fear
993,fear
1809,fear
1466,fear
1694,fear
854,fear
1490,fear
1307,fear
1484,fear
1517,fear
1771,fear
1218,fear
1848,fear
889,fear
848,fear
1892,fear
976,fear
1597,fear
897,fear
1108,fear
979,fear
1193,fear
1167,fear
1601,fear
1353,fear
1704,fear
1046,fear
1893,fear
1611,fear
1514,fear
998,fear
1877,fear
893,fear
1045,fear
1662,fear
1242,fear
1467,fear
1399,fear
1957,fear
1558,fear
915,fear
1624,fear
1880,fear
1413,fear
853,fear
1003,fear
1084,fear
1562,fear
1536,fear
1123,fear
1503,fear
1044,fear
1475,fear
1156,fear
1169,fear
1739,fear
1826,fear
857,fear
1469,fear
1841,fear
1923,fear
1528,fear
1173,fear
1479,fear
1192,fear
1276,fear
1513,fear
1252,fear
1698,fear
1266,fear
1295,fear
1845,fear
1855,fear
1037,fear
1442,fear
1172,fear
886,fear
1096,fear
1966,fear
856,fear
1427,fear
1685,fear
1271,fear
994,fear
1776,fear
1934,fear
1699,fear
1573,fear
1494,fear
1670,fear
1112,fear
929,fear
1634,fear
1793,fear
1577,fear
1509,fear
1146,fear
1277,fear
1569,fear
1452,fear
1468,fear
1153,fear
1432,fear
1620,fear
1932,fear
1379,fear
1531,fear
1001,fear
1039,fear
1958,fear
1897,fear
1623,fear
1933,fear
942,fear
1342,fear
1176,fear
1402,fear
958,fear
1331,fear
1147,fear
1010,fear
1114,fear
1374,fear
883,fear
1357,fear
1372,fear
1568,fear
900,fear
1451,fear
1728,fear
903,fear
845,fear
1710,fear
1438,fear
1302,fear
1058,fear
1134,fear
1392,fear
1344,fear
1827,fear
1409,fear
991,fear
843,fear
1953,fear
1538,fear
1244,fear
1164,fear
1921,fear
1026,fear
1165,fear
1637,fear
1822,fear
1784,fear
1858,fear
1965,fear
962,fear
1263,fear
1884,fear
1220,fear
1706,fear
1659,fear
1064,fear
1376,fear
875,fear
1085,fear
1852,fear
1117,fear
1910,fear
1322,fear
1487,fear
987,fear
988,fear
1388,fear
1742,fear
1474,fear
960,fear
876,fear
1461,fear
1920,fear
1119,fear
1024,fear
1686,fear
1437,fear
1684,fear
1785,fear
827,fear
1871,fear
1654,fear
1535,fear
1436,fear
1860,fear
1477,fear
1142,fear
1280,fear
1386,fear
1609,fear
1582,fear
1027,fear
1584,fear
1157,fear
1940,fear
1625,fear
902,fear
833,fear
1187,fear
1939,fear
1658,fear
1919,fear
1571,fear
945,fear
1881,fear
877,fear
1839,fear
916,fear
1962,fear
1023,fear
1486,fear
1838,fear
1088,fear
1506,fear
1757,fear
1135,fear
880,fear
1549,fear
1111,fear
1904,fear
1878,fear
1834,fear
1419,fear
1492,fear
1606,fear
1578,fear
1101,fear
1672,fear
906,fear
1928,fear
1697,fear
1205,fear
954,fear
981,fear
1693,fear
1942,fear
1197,fear
1148,fear
1729,fear
1791,fear
1598,fear
1702,fear
839,fear
894,fear
951,fear
1796,fear
914,fear
1109,fear
1556,fear
1561,fear
1956,fear
1236,fear
1499,fear
866,fear
1813,fear
1182,fear
1696,fear
1343,fear
1960,fear
908,fear
1106,fear
1333,fear
1766,fear
874,fear
1403,fear
1212,fear
1214,fear
1007,fear
888,fear
959,fear
884,fear
1151,fear
1137,fear
1626,fear
1162,fear
1661,fear
1770,fear
1718,fear
1896,fear
907,fear
1377,fear
1833,fear
1470,fear
1862,fear
1152,fear
1095,fear
1360,fear
1191,fear
1589,fear
859,fear
1498,fear
1864,fear
846,fear
1094,fear
1554,fear
1338,fear
1948,fear
1511,fear
1615,fear
1317,fear
1707,fear
1949,fear
1301,fear
1417,fear
1465,fear
980,fear
1128,fear
1516,fear
1118,fear
1184,fear
1613,fear
1053,fear
1586,fear
1100,fear
1116,fear
1068,fear
1788,fear
842,fear
1955,fear
1501,fear
1875,fear
1882,fear
1309,fear
1158,fear
1935,fear
1789,fear
1028,fear
1811,fear
1303,fear
1778,fear
885,fear
1690,fear
1732,fear
1854,fear
1837,fear
1583,fear
1617,fear
1944,fear
1922,fear
1673,fear
1752,fear
1093,fear
1816,fear
1657,fear
1240,fear
1308,fear
1930,fear
1876,fear
1282,fear
1580,fear
1396,fear
1664,fear
923,fear
1759,fear
1332,fear
1340,fear
1078,fear
1293,fear
1238,fear
1590,fear
1564,fear
1890,fear
1269,fear
1780,fear
1321,fear
1901,fear
1886,fear
1504,fear
1054,fear
1223,fear
1758,fear
984,fear
1652,fear
1850,fear
1048,fear
1900,fear
1077,fear
1373,fear
1371,fear
1337,fear
1887,fear
1286,fear
1129,fear
1186,fear
1801,fear
1057,fear
1431,fear
1643,fear
1047,fear
1539,fear
1389,fear
1546,fear
1755,fear
1830,fear
1051,fear
1851,fear
1653,fear
1508,fear
1428,fear
1783,fear
955,fear
1414,fear
1131,fear
1406,fear
1000,fear
1228,fear
1274,fear
1478,fear
1774,fear
935,fear
1579,fear
1867,fear
1180,fear
1883,fear
1113,fear
1031,fear
828,fear
1287,fear
872,fear
837,fear
1292,fear
1159,fear
1067,fear
1936,fear
1448,fear
1576,fear
1086,fear
852,fear
1174,fear
1761,fear
1500,fear
1320,fear
1275,fear
1835,fear
1592,fear
911,fear
1126,fear
1530,fear
1362,fear
1648,fear
1462,fear
1544,fear
1906,fear
1005,fear
1363,fear
1020,fear
1552,fear
1602,fear
1459,fear
1390,fear
1422,fear
1644,fear
1748,fear
1812,fear
1115,fear
1181,fear
1952,fear
1596,fear
1660,fear
975,fear
1726,fear
1233,fear
910,fear
1593,fear
1375,fear
1264,fear
1083,fear
1915,fear
1769,fear
1104,fear
1476,fear
1190,fear
1518,fear
1846,fear
1823,fear
932,fear
1762,fear
1727,fear
1572,fear
1201,fear
1418,fear
1250,fear
1842,fear
965,fear
1645,fear
1328,fear
1185,fear
1655,fear
940,fear
1179,fear
1671,fear
1060,fear
1241,fear
1168,fear
1279,fear
1194,fear
1397,fear
1435,fear
1676,fear
1155,fear
928,fear
838,fear
1258,fear
970,fear
1559,fear
1378,fear
1358,fear
2441,anger
2038,anger
1983,anger
2796,anger
2644,anger
2641,anger
2681,anger
2743,anger
2785,anger
2040,anger
2624,anger
2257,anger
2473,anger
2665,anger
2475,anger
2675,anger
2268,anger
2215,anger
2536,anger
2351,anger
2409,anger
2718,anger
2568,anger
2098,anger
2391,anger
2533,anger
2581,anger
2190,anger
2818,anger
2503,anger
2273,anger
2447,anger
2759,anger
2583,anger
2669,anger
2096,anger
2800,anger
2218,anger
2764,anger
2760,anger
2498,anger
2003,anger
2602,anger
2558,anger
2383,anger
2076,anger
2408,anger
2395,anger
2414,anger
2235,anger
2770,anger
2728,anger
2325,anger
2350,anger
2495,anger
2585,anger
2293,anger
2711,anger
1979,anger
2690,anger
2254,anger
2269,anger
2163,anger
2129,anger
2638,anger
2247,anger
2731,anger
2509,anger
2193,anger
2320,anger
1985,anger
2809,anger
2767,anger
2300,anger
2185,anger
2059,anger
2611,anger
2717,anger
2492,anger
2122,anger
2113,anger
2306,anger
2411,anger
2676,anger
2399,anger
2565,anger
2369,anger
2748,anger
2490,anger
2227,anger
2540,anger
2609,anger
2019,anger
2005,anger
1977,anger
2234,anger
2778,anger
2067,anger
2406,anger
2341,anger
2136,anger
2742,anger
2221,anger
2763,anger
2455,anger
2282,anger
2249,anger
2627,anger
2358,anger
2647,anger
2702,anger
2267,anger
2044,anger
2043,anger
1996,anger
1982,anger
2464,anger
2061,anger
2125,anger
2775,anger
2651,anger
2063,anger
2130,anger
2011,anger
2422,anger
2424,anger
2715,anger
2479,anger
2774,anger
2131,anger
2812,anger
2420,anger
2653,anger
2028,anger
2260,anger
2421,anger
2388,anger
2357,anger
2258,anger
2578,anger
2264,anger
2117,anger
2791,anger
2607,anger
2703,anger
2454,anger
2296,anger
2599,anger
2337,anger
2685,anger
2793,anger
2216,anger
2223,anger
2515,anger
2380,anger
2368,anger
2121,anger
2367,anger
2148,anger
2733,anger
2404,anger
2374,anger
2281,anger
2525,anger
2645,anger
2389,anger
2054,anger
2655,anger
1989,anger
2291,anger
2274,anger
2550,anger
2314,anger
2426,anger
2467,anger
2452,anger
2210,anger
2206,anger
2095,anger
2710,anger
2137,anger
2555,anger
2203,anger
2250,anger
2428,anger
2543,anger
2328,anger
2630,anger
2213,anger
2051,anger
2807,anger
2104,anger
2633,anger
2790,anger
2590,anger
2616,anger
2233,anger
2252,anger
2804,anger
2440,anger
2667,anger
2084,anger
2326,anger
1988,anger
2783,anger
2042,anger
2597,anger
2194,anger
2195,anger
2769,anger
2594,anger
2427,anger
1994,anger
2082,anger
2613,anger
2575,anger
2133,anger
2634,anger
2773,anger
2824,anger
2079,anger
2505,anger
2302,anger
2635,anger
2179,anger
2726,anger
2288,anger
2567,anger
2092,anger
2164,anger
2080,anger
2197,anger
2103,anger
2825,anger
2345,anger
2724,anger
2396,anger
1974,anger
2238,anger
2753,anger
2138,anger
2200,anger
2231,anger
2451,anger
2359,anger
2810,anger
2513,anger
2471,anger
2344,anger
2652,anger
2073,anger
2004,anger
2434,anger
2745,anger
2737,anger
2620,anger
2008,anger
2387,anger
2123,anger
2372,anger
1993,anger
1992,anger
2280,anger
1991,anger
2693,anger
2453,anger
2155,anger
2720,anger
2666,anger
2461,anger
2312,anger
2180,anger
2687,anger
2798,anger
2776,anger
2439,anger
2347,anger
2701,anger
2415,anger
2486,anger
2327,anger
2580,anger
2010,anger
2766,anger
2142,anger
2656,anger
2407,anger
2504,anger
2178,anger
2099,anger
2541,anger
2546,anger
2736,anger
2161,anger
2740,anger
2729,anger
2746,anger
2240,anger
2158,anger
2584,anger
2023,anger
2251,anger
2041,anger
2522,anger
2340,anger
2732,anger
2598,anger
2782,anger
2385,anger
2192,anger
2579,anger
2013,anger
2049,anger
2569,anger
2270,anger
2139,anger
2442,anger
2305,anger
2401,anger
2518,anger
2512,anger
2319,anger
2601,anger
2402,anger
2000,anger
2160,anger
2201,anger
2026,anger
2390,anger
2353,anger
2443,anger
2704,anger
2762,anger
2784,anger
1971,anger
2209,anger
2245,anger
2511,anger
2290,anger
2617,anger
2619,anger
2754,anger
2151,anger
2608,anger
1997,anger
2680,anger
2436,anger
2373,anger
2592,anger
2058,anger
2034,anger
2654,anger
2101,anger
2485,anger
2803,anger
2706,anger
2237,anger
2062,anger
2526,anger
2534,anger
2224,anger
2508,anger
2523,anger
2332,anger
2529,anger
2392,anger
2826,anger
2027,anger
2615,anger
2559,anger
2242,anger
2375,anger
2552,anger
2438,anger
2100,anger
2184,anger
2604,anger
2430,anger
2244,anger
2683,anger
2141,anger
2366,anger
2134,anger
2046,anger
2531,anger
2433,anger
2208,anger
2107,anger
2352,anger
2035,anger
2225,anger
2170,anger
2140,anger
2689,anger
2077,anger
2489,anger
2189,anger
2317,anger
2066,anger
2779,anger
2322,anger
2419,anger
2517,anger
2105,anger
2478,anger
2346,anger
2487,anger
2001,anger
2739,anger
2564,anger
2636,anger
2118,anger
2057,anger
2510,anger
2466,anger
2226,anger
2570,anger
2239,anger
2795,anger
2544,anger
2204,anger
2181,anger
2336,anger
2398,anger
2187,anger
2605,anger
2165,anger
2469,anger
2331,anger
2435,anger
2571,anger
2591,anger
2816,anger
1975,anger
2806,anger
2093,anger
2631,anger
1999,anger
2749,anger
2699,anger
2561,anger
2088,anger
2457,anger
2050,anger
2261,anger
2033,anger
2031,anger
2813,anger
2777,anger
2310,anger
2202,anger
2554,anger
2553,anger
2527,anger
2146,anger
2112,anger
2519,anger
2232,anger
2199,anger
2329,anger
2582,anger
2802,anger
2603,anger
2437,anger
2342,anger
2303,anger
2805,anger
2444,anger
2382,anger
2556,anger
2713,anger
2316,anger
2459,anger
2017,anger
2663,anger
2246,anger
2474,anger
2547,anger
2648,anger
2524,anger
2279,anger
2792,anger
2217,anger
2772,anger
2614,anger
2188,anger
2259,anger
2089,anger
2488,anger
2808,anger
2029,anger
2535,anger
2241,anger
2448,anger
2548,anger
2786,anger
1984,anger
2727,anger
2661,anger
2458,anger
2283,anger
2514,anger
2765,anger
2070,anger
2047,anger
2432,anger
2494,anger
2069,anger
2191,anger
2114,anger
2697,anger
2657,anger
2456,anger
2262,anger
2691,anger
2768,anger
2162,anger
2060,anger
2664,anger
2642,anger
2330,anger
2417,anger
2425,anger
2298,anger
2787,anger
2022,anger
2445,anger
2212,anger
2177,anger
2277,anger
2175,anger
2757,anger
2734,anger
2157,anger
2036,anger
2719,anger
2781,anger
2621,anger
2695,anger
2364,anger
2537,anger
2371,anger
2186,anger
2692,anger
2502,anger
2106,anger
2560,anger
2499,anger
2016,anger
2168,anger
2154,anger
2078,anger
2819,anger
2673,anger
2025,anger
2658,anger
2115,anger
2295,anger
2501,anger
2686,anger
2381,anger
2549,anger
2311,anger
2677,anger
2343,anger
2007,anger
2682,anger
2449,anger
2758,anger
2220,anger
2083,anger
2087,anger
2586,anger
2255,anger
2500,anger
2032,anger
2418,anger
2338,anger
2045,anger
2750,anger
2048,anger
2722,anger
2230,anger
2229,anger
2659,anger
2256,anger
2308,anger
2545,anger
2649,anger
2477,anger
2075,anger
2815,anger
2119,anger
2431,anger
2307,anger
2014,anger
2670,anger
2566,anger
2074,anger
2339,anger
2081,anger
2156,anger
2276,anger
2694,anger
2572,anger
2483,anger
2304,anger
2198,anger
2576,anger
2253,anger
2756,anger
2272,anger
2335,anger
2379,anger
2400,anger
2612,anger
2788,anger
2116,anger
2405,anger
2363,anger
2797,anger
2780,anger
2012,anger
2557,anger
2297,anger
2109,anger
2292,anger
2650,anger
2606,anger
2120,anger
2323,anger
1978,anger
2528,anger
2090,anger
2126,anger
2205,anger
2393,anger
2410,anger
2356,anger
2222,anger
2738,anger
2637,anger
2135,anger
2660,anger
2516,anger
2801,anger
2476,anger
2360,anger
2150,anger
2497,anger
2091,anger
2600,anger
2811,anger
2236,anger
2053,anger
1973,anger
1972,anger
2127,anger
2370,anger
2355,anger
2577,anger
2097,anger
2562,anger
2588,anger
2688,anger
2640,anger
2730,anger
2384,anger
2747,anger
2593,anger
2821,anger
2055,anger
2143,anger
2064,anger
2285,anger
1995,anger
2275,anger
2018,anger
2174,anger
1980,anger
2721,anger
2662,anger
2423,anger
2563,anger
2286,anger
2595,anger
2672,anger
2052,anger
2085,anger
2465,anger
2700,anger
2284,anger
2491,anger
2037,anger
2799,anger
2183,anger
2520,anger
2071,anger
2761,anger
2173,anger
2481,anger
2493,anger
2551,anger
2153,anger
2214,anger
2086,anger
2626,anger
2152,anger
2111,anger
2484,anger
2723,anger
2446,anger
2771,anger
2789,anger
2628,anger
2480,anger
2741,anger
2271,anger
2708,anger
2639,anger
2751,anger
2632,anger
2629,anger
2015,anger
1990,anger
2039,anger
2744,anger
2696,anger
2349,anger
2618,anger
2108,anger
2145,anger
2265,anger
2354,anger
2313,anger
2386,anger
2009,anger
2714,anger
2429,anger
2167,anger
2149,anger
2378,anger
2172,anger
2506,anger
2671,anger
2532,anger
2176,anger
2817,anger
2450,anger
2144,anger
2299,anger
2065,anger
2678,anger
2024,anger
2622,anger
1970,anger
2056,anger
2794,anger
2124,anger
2094,anger
2538,anger
1987,anger
2625,anger
2679,anger
2334,anger
2735,anger
2707,anger
2266,anger
2020,anger
1986,anger
2573,anger
2587,anger
2643,anger
2315,anger
2698,anger
2278,anger
2348,anger
2468,anger
2362,anger
2403,anger
2211,anger
2002,anger
2361,anger
2321,anger
2542,anger
2674,anger
422,joy
118,joy
395,joy
797,joy
378,joy
737,joy
124,joy
177,joy
460,joy
187,joy
773,joy
347,joy
445,joy
220,joy
815,joy
138,joy
657,joy
659,joy
243,joy
107,joy
670,joy
649,joy
221,joy
637,joy
685,joy
780,joy
680,joy
324,joy
623,joy
450,joy
101,joy
678,joy
358,joy
651,joy
51,joy
771,joy
690,joy
152,joy
561,joy
683,joy
505,joy
382,joy
590,joy
63,joy
45,joy
591,joy
411,joy
448,joy
719,joy
501,joy
405,joy
127,joy
288,joy
277,joy
258,joy
622,joy
399,joy
266,joy
488,joy
563,joy
758,joy
706,joy
674,joy
153,joy
174,joy
114,joy
532,joy
425,joy
614,joy
82,joy
292,joy
273,joy
420,joy
811,joy
818,joy
779,joy
193,joy
570,joy
151,joy
581,joy
508,joy
391,joy
140,joy
624,joy
97,joy
307,joy
485,joy
772,joy
506,joy
92,joy
371,joy
646,joy
665,joy
715,joy
610,joy
541,joy
94,joy
359,joy
426,joy
100,joy
735,joy
643,joy
336,joy
298,joy
558,joy
509,joy
67,joy
393,joy
186,joy
13,joy
578,joy
22,joy
403,joy
131,joy
722,joy
449,joy
278,joy
490,joy
90,joy
280,joy
165,joy
210,joy
248,joy
744,joy
317,joy
714,joy
479,joy
321,joy
688,joy
787,joy
573,joy
664,joy
579,joy
304,joy
289,joy
533,joy
554,joy
468,joy
99,joy
396,joy
205,joy
61,joy
29,joy
628,joy
34,joy
285,joy
708,joy
759,joy
429,joy
225,joy
168,joy
162,joy
681,joy
512,joy
521,joy
661,joy
144,joy
601,joy
242,joy
805,joy
85,joy
673,joy
526,joy
764,joy
5,joy
208,joy
539,joy
20,joy
189,joy
727,joy
214,joy
728,joy
574,joy
283,joy
43,joy
639,joy
169,joy
55,joy
249,joy
806,joy
72,joy
595,joy
439,joy
777,joy
311,joy
353,joy
478,joy
660,joy
617,joy
630,joy
78,joy
442,joy
801,joy
799,joy
281,joy
342,joy
504,joy
188,joy
263,joy
306,joy
141,joy
338,joy
568,joy
402,joy
491,joy
302,joy
103,joy
270,joy
669,joy
717,joy
774,joy
32,joy
275,joy
286,joy
567,joy
654,joy
137,joy
802,joy
159,joy
310,joy
810,joy
398,joy
41,joy
69,joy
723,joy
26,joy
636,joy
312,joy
430,joy
261,joy
173,joy
47,joy
613,joy
560,joy
711,joy
60,joy
480,joy
315,joy
343,joy
564,joy
555,joy
207,joy
166,joy
314,joy
251,joy
360,joy
335,joy
381,joy
87,joy
68,joy
345,joy
693,joy
59,joy
148,joy
694,joy
619,joy
11,joy
213,joy
441,joy
363,joy
437,joy
16,joy
119,joy
190,joy
748,joy
37,joy
106,joy
93,joy
232,joy
372,joy
171,joy
191,joy
465,joy
296,joy
195,joy
652,joy
305,joy
692,joy
6,joy
492,joy
282,joy
299,joy
257,joy
134,joy
761,joy
318,joy
752,joy
668,joy
677,joy
416,joy
56,joy
609,joy
182,joy
267,joy
274,joy
33,joy
645,joy
544,joy
662,joy
200,joy
197,joy
455,joy
380,joy
10,joy
599,joy
12,joy
379,joy
454,joy
747,joy
676,joy
720,joy
136,joy
821,joy
576,joy
635,joy
698,joy
786,joy
466,joy
753,joy
784,joy
385,joy
237,joy
181,joy
8,joy
689,joy
272,joy
707,joy
620,joy
631,joy
531,joy
794,joy
316,joy
462,joy
217,joy
417,joy
279,joy
98,joy
600,joy
672,joy
392,joy
229,joy
235,joy
709,joy
388,joy
201,joy
322,joy
530,joy
408,joy
571,joy
368,joy
253,joy
736,joy
325,joy
572,joy
180,joy
340,joy
96,joy
46,joy
239,joy
28,joy
135,joy
161,joy
50,joy
149,joy
783,joy
820,joy
528,joy
323,joy
781,joy
545,joy
498,joy
95,joy
245,joy
476,joy
351,joy
24,joy
438,joy
198,joy
130,joy
14,joy
586,joy
376,joy
500,joy
348,joy
256,joy
535,joy
785,joy
17,joy
738,joy
83,joy
374,joy
726,joy
716,joy
788,joy
618,joy
415,joy
451,joy
800,joy
604,joy
517,joy
309,joy
264,joy
514,joy
117,joy
361,joy
524,joy
433,joy
40,joy
653,joy
406,joy
70,joy
122,joy
499,joy
474,joy
518,joy
550,joy
400,joy
650,joy
461,joy
575,joy
167,joy
259,joy
268,joy
269,joy
663,joy
247,joy
346,joy
679,joy
436,joy
435,joy
366,joy
789,joy
577,joy
762,joy
58,joy
176,joy
565,joy
108,joy
240,joy
143,joy
536,joy
534,joy
703,joy
483,joy
444,joy
35,joy
655,joy
109,joy
608,joy
65,joy
386,joy
776,joy
160,joy
705,joy
9,joy
702,joy
276,joy
194,joy
699,joy
607,joy
113,joy
183,joy
370,joy
126,joy
793,joy
121,joy
7,joy
556,joy
123,joy
489,joy
76,joy
721,joy
494,joy
262,joy
3,joy
331,joy
84,joy
414,joy
334,joy
206,joy
409,joy
328,joy
469,joy
697,joy
19,joy
553,joy
671,joy
215,joy
349,joy
199,joy
66,joy
291,joy
516,joy
452,joy
687,joy
734,joy
142,joy
559,joy
4,joy
105,joy
81,joy
543,joy
756,joy
227,joy
344,joy
38,joy
48,joy
475,joy
150,joy
731,joy
228,joy
603,joy
750,joy
458,joy
241,joy
804,joy
75,joy
356,joy
440,joy
383,joy
369,joy
549,joy
54,joy
255,joy
598,joy
766,joy
260,joy
739,joy
301,joy
782,joy
350,joy
471,joy
341,joy
397,joy
751,joy
110,joy
621,joy
813,joy
410,joy
605,joy
364,joy
412,joy
548,joy
540,joy
384,joy
583,joy
147,joy
666,joy
86,joy
675,joy
407,joy
817,joy
546,joy
775,joy
557,joy
209,joy
79,joy
769,joy
404,joy
129,joy
233,joy
588,joy
470,joy
30,joy
179,joy
616,joy
456,joy
552,joy
593,joy
473,joy
589,joy
431,joy
634,joy
497,joy
49,joy
446,joy
295,joy
89,joy
132,joy
768,joy
453,joy
684,joy
354,joy
77,joy
597,joy
216,joy
39,joy
792,joy
522,joy
202,joy
27,joy
362,joy
770,joy
729,joy
303,joy
74,joy
648,joy
529,joy
640,joy
419,joy
819,joy
294,joy
246,joy
710,joy
537,joy
592,joy
223,joy
625,joy
515,joy
730,joy
686,joy
175,joy
611,joy
484,joy
226,joy
401,joy
434,joy
308,joy
62,joy
418,joy
170,joy
157,joy
319,joy
547,joy
284,joy
231,joy
44,joy
357,joy
615,joy
695,joy
128,joy
163,joy
733,joy
606,joy
192,joy
795,joy
798,joy
320,joy
701,joy
814,joy
244,joy
551,joy
112,joy
626,joy
265,joy
638,joy
355,joy
724,joy
203,joy
184,joy
809,joy
562,joy
230,joy
495,joy
432,joy
365,joy
513,joy
582,joy
424,joy
718,joy
139,joy
293,joy
115,joy
155,joy
767,joy
467,joy
580,joy
472,joy
447,joy
80,joy
644,joy
790,joy
91,joy
222,joy
725,joy
25,joy
421,joy
791,joy
2,joy
332,joy
313,joy
111,joy
254,joy
297,joy
373,joy
145,joy
238,joy
73,joy
602,joy
459,joy
633,joy
612,joy
712,joy
502,joy
234,joy
172,joy
749,joy
745,joy
339,joy
427,joy
816,joy
763,joy
656,joy
493,joy
627,joy
375,joy
746,joy
120,joy
743,joy
236,joy
31,joy
487,joy
327,joy
807,joy
57,joy
252,joy
102,joy
629,joy
377,joy
250,joy
523,joy
632,joy
696,joy
428,joy
204,joy
387,joy
596,joy
742,joy
569,joy
52,joy
760,joy
641,joy
53,joy
125,joy
104,joy
367,joy
389,joy
822,joy
682,joy
224,joy
647,joy
211,joy
154,joy
23,joy
732,joy
164,joy
584,joy
796,joy
287,joy
520,joy
519,joy
423,joy
158,joy
390,joy
585,joy
333,joy
133,joy
700,joy
326,joy
642,joy
42,joy
812,joy
463,joy
290,joy
330,joy
667,joy
300,joy
757,joy
594,joy
510,joy
457,joy
1,joy
146,joy
178,joy
803,joy
691,joy
486,joy
337,joy
511,joy
704,joy
481,joy
156,joy
740,joy
808,joy
525,joy
2894,sadness
3153,sadness
3345,sadness
3501,sadness
3074,sadness
3213,sadness
3391,sadness
2910,sadness
3382,sadness
3099,sadness
3021,sadness
3356,sadness
3565,sadness
3608,sadness
3053,sadness
3603,sadness
2960,sadness
3051,sadness
3231,sadness
3527,sadness
3054,sadness
3270,sadness
3170,sadness
3055,sadness
2932,sadness
3338,sadness
3539,sadness
3039,sadness
3316,sadness
3236,sadness
3077,sadness
2855,sadness
3434,sadness
2890,sadness
3225,sadness
3293,sadness
3251,sadness
2857,sadness
3184,sadness
3371,sadness
2828,sadness
3072,sadness
3115,sadness
3454,sadness
3000,sadness
3564,sadness
3351,sadness
2967,sadness
3302,sadness
3322,sadness
3473,sadness
2875,sadness
3418,sadness
3105,sadness
3363,sadness
3133,sadness
2944,sadness
3104,sadness
2839,sadness
3337,sadness
2850,sadness
3250,sadness
2996,sadness
3145,sadness
3121,sadness
2854,sadness
3137,sadness
3108,sadness
2919,sadness
3480,sadness
2943,sadness
2958,sadness
2924,sadness
2955,sadness
3511,sadness
2884,sadness
3311,sadness
3466,sadness
3495,sadness
3286,sadness
3590,sadness
3110,sadness
3307,sadness
3089,sadness
3179,sadness
2964,sadness
3390,sadness
2989,sadness
3479,sadness
3298,sadness
3544,sadness
2907,sadness
3559,sadness
3537,sadness
3397,sadness
3308,sadness
3545,sadness
3134,sadness
3399,sadness
3532,sadness
3188,sadness
3075,sadness
3154,sadness
3358,sadness
3116,sadness
3243,sadness
3304,sadness
3180,sadness
